Round,FirmID,Price,Quantity,Profit
1,1,7.0,1000.0000000010001,5000
1,2,10.0,100.00000000010002,800
2,1,7.0,1100.0000000011003,5500
2,2,11.0,-100.00000000010021,-900
3,1,7.0,700.0000000007001,3500
3,2,7.0,700.0000000007001,3500
4,1,6.0,900.0000000009001,3600
4,2,7.0,600.0000000006,3000
5,1,6.0,900.0000000009001,3600
5,2,7.0,600.0000000006,3000
6,1,7.0,700.0000000007001,3500
6,2,7.0,700.0000000007001,3500
7,1,6.0,900.0000000009001,3600
7,2,7.0,600.0000000006,3000
8,1,6.0,900.0000000009001,3600
8,2,7.0,600.0000000006,3000
9,1,7.0,700.0000000007001,3500
9,2,7.0,700.0000000007001,3500
10,1,7.0,700.0000000007001,3500
10,2,7.0,700.0000000007001,3500
11,1,7.0,700.0000000007001,3500
11,2,7.0,700.0000000007001,3500
12,1,6.0,900.0000000009001,3600
12,2,7.0,600.0000000006,3000
13,1,7.0,700.0000000007001,3500
13,2,7.0,700.0000000007001,3500
14,1,6.0,900.0000000009001,3600
14,2,7.0,600.0000000006,3000
15,1,6.0,900.0000000009001,3600
15,2,7.0,600.0000000006,3000
16,1,7.0,700.0000000007001,3500
16,2,7.0,700.0000000007001,3500
17,1,6.0,900.0000000009001,3600
17,2,7.0,600.0000000006,3000
18,1,6.0,900.0000000009001,3600
18,2,7.0,600.0000000006,3000
19,1,6.0,900.0000000009001,3600
19,2,7.0,600.0000000006,3000
20,1,6.0,900.0000000009001,3600
20,2,7.0,600.0000000006,3000
21,1,6.0,900.0000000009001,3600
21,2,7.0,600.0000000006,3000
22,1,6.0,900.0000000009001,3600
22,2,7.0,600.0000000006,3000
23,1,6.0,800.0000000008001,3200
23,2,6.0,800.0000000008001,3200
24,1,6.0,800.0000000008001,3200
24,2,6.0,800.0000000008001,3200
25,1,6.0,800.0000000008001,3200
25,2,6.0,800.0000000008001,3200
26,1,6.0,800.0000000008001,3200
26,2,6.0,800.0000000008001,3200
27,1,6.0,900.0000000009001,3600
27,2,7.0,600.0000000006,3000
28,1,6.0,800.0000000008001,3200
28,2,6.0,800.0000000008001,3200
29,1,6.0,800.0000000008001,3200
29,2,6.0,800.0000000008001,3200
30,1,6.0,800.0000000008001,3200
30,2,6.0,800.0000000008001,3200
31,1,6.0,800.0000000008001,3200
31,2,6.0,800.0000000008001,3200
32,1,6.0,900.0000000009001,3600
32,2,7.0,600.0000000006,3000
33,1,6.0,800.0000000008001,3200
33,2,6.0,800.0000000008001,3200
34,1,6.0,900.0000000009001,3600
34,2,7.0,600.0000000006,3000
35,1,6.0,900.0000000009001,3600
35,2,7.0,600.0000000006,3000
36,1,6.0,800.0000000008001,3200
36,2,6.0,800.0000000008001,3200
37,1,6.0,800.0000000008001,3200
37,2,6.0,800.0000000008001,3200
38,1,6.0,800.0000000008001,3200
38,2,6.0,800.0000000008001,3200
39,1,6.0,800.0000000008001,3200
39,2,6.0,800.0000000008001,3200
