Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
2,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
3,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
4,13.0,100.00000000010012,1100,13.0,100.00000000010012,1100
5,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
6,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
7,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
8,13.0,100.00000000010012,1100,13.0,100.00000000010012,1100
9,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
10,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
11,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
12,13.0,100.00000000010012,1100,13.0,100.00000000010012,1100
13,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
14,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
15,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
16,13.0,100.00000000010012,1100,13.0,100.00000000010012,1100
17,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
18,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
19,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
