Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,4.0,1000.0000000010001,2000,4.0,1000.0000000010001,2000
2,6.0,800.0000000008001,3200,6.0,800.0000000008001,3200
3,8.0,600.0000000006,3600,8.0,600.0000000006,3600
4,9.0,500.00000000050005,3500,9.0,500.00000000050005,3500
5,10.0,400.00000000040006,3200,10.0,400.00000000040006,3200
6,11.0,300.0000000002999,2700,11.0,300.0000000002999,2700
7,12.0,200.00000000020003,2000,12.0,200.00000000020003,2000
8,10.0,700.0000000007,5600,13.0,-200.0000000001998,-2200
9,11.0,200.0000000001998,1800,10.0,500.00000000050017,4000
10,12.0,100.00000000010012,1000,11.0,400.00000000039984,3600
11,13.0,2.0816681711763322e-13,0,12.0,300.0000000002999,3000
12,10.0,500.00000000050017,4000,11.0,200.0000000001998,1800
13,11.0,400.00000000039984,3600,12.0,100.00000000010012,1000
14,10.0,300.0000000003,2400,9.0,600.0000000006,4200
15,11.0,-100.00000000010021,-900,7.0,1100.0000000011003,5500
16,7.0,800.0000000008001,4000,8.0,500.00000000050005,3000
