Round,Price 1,Quantity 1,Profit 1,Price 2,Quantity 2,Profit 2
1,10.0,200.00000000020003,1600,8.0,800.0000000008001,4800
2,12.0,-100.00000000010002,-1000,9.0,800.0000000008001,5600
3,10.0,300.0000000003,2400,9.0,600.0000000006,4200
4,10.0,300.0000000003,2400,9.0,600.0000000006,4200
5,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
6,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
7,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
8,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
9,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
10,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
11,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
12,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
13,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
14,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
15,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
16,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
17,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
18,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
19,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
20,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
21,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
22,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
23,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
24,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
25,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
26,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
27,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
28,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
29,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
30,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
31,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
32,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
33,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
34,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
35,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
36,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
37,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
38,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
39,9.0,400.00000000040006,2800,8.0,700.0000000007001,4200
